Title,Release Year,Duration,Director,Actor 1,Actor 2,Genre
Star Wars,1977,121 min.,George Lucas,Mark Hamill,Harrison Ford,Action
The Empire Strikes Back,1980,127 min.,Irvin Kershner,Mark Hamill,Harrison Ford,Action
The Godfather,1972,175 min.,Francis Ford Coppola,Marlon Brando,Al Pacino,Based-on-20th-Century-Literature
Raiders of the Lost Ark,1981,115 min.,Steven Spielberg,Harrison Ford,Paul Freeman,Action
The Shawshank Redemption,1994,142 min.,Frank Darabont,Tim Robbins,Morgan Freeman,Based-on-20th-Century-Literature
Pulp Fiction,1994,154 min.,Quentin Tarantino,John Travolta,Samuel L. Jackson,Black Comedy
Return of the Jedi,1983,134 min.,Richard Marquand,Mark Hamill,Harrison Ford,Action
Back to the Future,1985,116 min.,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Adventure Comedy
Ikiru,1952,143 min.,Akira Kurosawa,Takashi Shimura,Shin'ichi Himori,Based-on-19th-Century-Literature
The Godfather Part II,1974,200 min.,Francis Ford Coppola,Al Pacino,Robert Duvall,Based-on-20th-Century-Literature
Harakiri,1962,133 min.,Masaki Kobayashi,Tatsuya Nakadai,Rentaro Mikuni,Based-on-20th-Century-Literature
The Dark Knight,2008,152 min.,Christopher Nolan,Christian Bale,Heath Ledger,Action Thriller
Fight Club,1999,139 min.,David Fincher,Brad Pitt,Edward Norton,Based-on-20th-Century-Literature
GoodFellas,1990,145 min.,Martin Scorsese,Robert De Niro,Ray Liotta,Based-on-20th-Century-Literature
Rear Window,1954,112 min.,Alfred Hitchcock,James Stewart,Grace Kelly,Based-on-20th-Century-Literature
High and Low,1963,142 min.,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Based-on-20th-Century-Literature
City Lights,1931,87 min.,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Comedy Drama
Alien,1979,117 min.,Ridley Scott,Tom Skerritt,Sigourney Weaver,Body Horror
The Silence of the Lambs,1991,118 min.,Jonathan Demme,Jodie Foster,Scott Glenn,Based-on-20th-Century-Literature
The Shining,1980,142 min.,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Based-on-20th-Century-Literature
Indiana Jones and the Last Crusade,1989,127 min.,Steven Spielberg,River Phoenix,Harrison Ford,Action Comedy
Reservoir Dogs,1992,99 min.,Quentin Tarantino,Harvey Keitel,Tim Roth,Caper
The Apartment,1960,125 min.,Billy Wilder,Jack Lemmon,Fred MacMurray,Comedy Drama
Se7en,1995,127 min.,David Fincher,Brad Pitt,Morgan Freeman,Crime Thriller
Casablanca,1942,102 min.,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Based-on-Theatre
Seven Samurai,1954,207 min.,Akira Kurosawa,Toshirô Mifune,Minoru Chiaki,Action
The Matrix,1999,136 min.,The Wachowskis,Keanu Reeves,Laurence Fishburne,Action
M,1931,99 min.,Fritz Lang,Peter Lorre,Ellen Widmann,Crime Thriller
Die Hard,1988,131 min.,John McTiernan,Bruce Willis,Alan Rickman,Action Thriller
Monty Python and the Holy Grail,1975,91 min.,"Terry Gilliam, Terry Jones",Graham Chapman,John Cleese,Absurd Comedy
"The Good, the Bad and the Ugly",1966,161 min.,Sergio Leone,Eli Wallach,Clint Eastwood,Foreign Language Film
One Flew Over the Cuckoo's Nest,1975,133 min.,Milos Forman,Jack Nicholson,Louise Fletcher,Based-on-20th-Century-Literature
Double Indemnity,1944,107 min.,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Based-on-20th-Century-Literature
Sunrise: A Song of Two Humans,1927,94 min.,F.W. Murnau,George O'Brien,Janet Gaynor,Drama
The Night of the Hunter,1955,92 min.,Charles Laughton,Robert Mitchum,Shelley Winters,Based-on-20th-Century-Literature
Yojimbo,1961,110 min.,Akira Kurosawa,Toshirô Mifune,Isuzu Yamada,Action
Ghostbusters,1984,105 min.,Ivan Reitman,Bill Murray,Dan Aykroyd,Comedy
North by Northwest,1959,136 min.,Alfred Hitchcock,Cary Grant,Eva Marie Saint,Chase Movie
The Lord of the Rings: The Fellowship of the Ring,2001,178 min.,Peter Jackson,Elijah Wood,Ian McKellen,Adventure
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93 min.,Stanley Kubrick,George C. Scott,Sterling Hayden,Anti-War Film
The Third Man,1949,93 min.,Carol Reed,Joseph Cotten,Alida Valli,British Noir
Citizen Kane,1941,119 min.,Orson Welles,Orson Welles,Ray Collins,Drama
The Princess Bride,1987,98 min.,Rob Reiner,Cary Elwes,Mandy Patinkin,Adventure Comedy
Rashômon,1950,88 min.,Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Based-on-20th-Century-Literature
Terminator 2: Judgment Day,1991,137 min.,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Action Thriller
Blade Runner,1982,117 min.,Ridley Scott,Harrison Ford,Rutger Hauer,Based-on-20th-Century-Literature
Taxi Driver,1976,113 min.,Martin Scorsese,Robert De Niro,Jodie Foster,Drama
The Wages of Fear,1953,131 min.,Henri-Georges Clouzot,Yves Montand,Charles Vanel,Based-on-20th-Century-Literature
The Usual Suspects,1995,106 min.,Bryan Singer,Stephen Baldwin,Gabriel Byrne,Crime Thriller
The Lord of the Rings: The Return of the King,2003,201 min.,Peter Jackson,Elijah Wood,Ian McKellen,Adventure
Aliens,1986,137 min.,James Cameron,Sigourney Weaver,Carrie Henn,Action
Paths of Glory,1957,87 min.,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Anti-War Film
Psycho,1960,109 min.,Alfred Hitchcock,Anthony Perkins,Vera Miles,Based-on-20th-Century-Literature
Saving Private Ryan,1998,170 min.,Steven Spielberg,Tom Hanks,Tom Sizemore,Combat Films
12 Angry Men,1957,96 min.,Sidney Lumet,Henry Fonda,Lee J. Cobb,Based-on-Television
Jurassic Park,1993,127 min.,Steven Spielberg,Sam Neill,Laura Dern,Action
Schindler's List,1993,195 min.,Steven Spielberg,Liam Neeson,Ben Kingsley,Based-on-20th-Century-Literature
Persona,1966,85 min.,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Avant-garde / Experimental
Apocalypse Now,1979,153 min.,Francis Ford Coppola,Martin Sheen,Robert Duvall,Adventure Drama
The Red Shoes,1948,133 min.,"Michael Powell, Emeric Pressburger",Moira Shearer,Anton Walbrook,Based-on-19th-Century-Literature
The Passion of Joan of Arc,1928,110 min.,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,Based-on-a-True-Story
Touch of Evil,1958,95 min.,Orson Welles,Charlton Heston,Janet Leigh,Crime
Vertigo,1958,129 min.,Alfred Hitchcock,James Stewart,Kim Novak,Based-on-20th-Century-Literature
Forrest Gump,1994,142 min.,Robert Zemeckis,Tom Hanks,Robin Wright,Americana
Jaws,1975,124 min.,Steven Spielberg,Roy Scheider,Robert Shaw,Adventure
Chinatown,1974,131 min.,Roman Polanski,Faye Dunaway,Jack Nicholson,Detective Film
Le samouraï,1967,105 min.,Jean-Pierre Melville,Alain Delon,François Perier,Crime Thriller
Toy Story,1995,81 min.,John Lasseter,Don Rickles,Wallace Shawn,Adventure
Bicycle Thieves,1948,93 min.,Vittorio De Sica,Lamberto Maggiorani,Lianella Carell,Coming-of-Age
The Big Lebowski,1998,117 min.,Joel & Ethan Coen,Julianne Moore,David Huddleston,Buddy Film
A Clockwork Orange,1971,136 min.,Stanley Kubrick,Malcolm McDowell,Warren Clarke,Based-on-20th-Century-Literature
Come and See,1985,140 min.,Elem Klimov,Aleksei Kravchenko,Olga Mironova,Anti-War Film
The Lord of the Rings: The Two Towers,2002,179 min.,Peter Jackson,Elijah Wood,Ian McKellen,Adventure
Memento,2000,113 min.,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Crime Thriller
Ferris Bueller's Day Off,1986,103 min.,John Hughes,Matthew Broderick,Alan Ruck,Comedy
The Treasure of the Sierra Madre,1948,126 min.,John Huston,Humphrey Bogart,Walter Huston,Adventure Drama
