Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
Star Wars,1977,121 min.,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","Action, Adventure, Cyborg / Android / Robot",
The Empire Strikes Back,1980,127 min.,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher","Action, Adventure, Cyborg / Android / Robot",
The Godfather,1972,175 min.,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","Based-on-20th-Century-Literature, Crime Drama, Crime",
Raiders of the Lost Ark,1981,115 min.,Steven Spielberg,"Harrison Ford, Paul Freeman, Karen Allen","Action, Adventure, Costume Adventure",
The Shawshank Redemption,1994,142 min.,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton","Based-on-20th-Century-Literature, Buddy Film, Drama",
Pulp Fiction,1994,154 min.,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Bruce Willis","Black Comedy, Comedy Thriller, Crime Comedy",
Return of the Jedi,1983,134 min.,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher","Action, Adventure, Cyborg / Android / Robot",
Back to the Future,1985,116 min.,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson","Adventure Comedy, Adventure, Americana",
Ikiru,1952,143 min.,Akira Kurosawa,"Takashi Shimura, Shin'ichi Himori, Haruo Tanaka","Based-on-19th-Century-Literature, Drama, Foreign Language Film",
The Godfather Part II,1974,200 min.,Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton","Based-on-20th-Century-Literature, Crime Drama, Crime",
Harakiri,1962,133 min.,Masaki Kobayashi,"Tatsuya Nakadai, Rentaro Mikuni, Shima Iwashita","Based-on-20th-Century-Literature, Drama, Foreign Language Film",
The Dark Knight,2008,152 min.,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","Action Thriller, Action, Based-on-Comics",
Fight Club,1999,139 min.,David Fincher,"Brad Pitt, Edward Norton, Helena Bonham Carter","Based-on-20th-Century-Literature, Black Comedy, Comedy Drama",
GoodFellas,1990,145 min.,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci","Based-on-20th-Century-Literature, Based-on-a-True-Story, Biopic",
Rear Window,1954,112 min.,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey","Based-on-20th-Century-Literature, Mystery, Psychological Thriller",
High and Low,1963,142 min.,Akira Kurosawa,"Toshirô Mifune, Tatsuya Nakadai, Kyoko Kagawa","Based-on-20th-Century-Literature, Crime Drama, Crime Thriller",
City Lights,1931,87 min.,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee","Comedy Drama, Comedy, Drama",
Alien,1979,117 min.,Ridley Scott,"Tom Skerritt, Sigourney Weaver, Ian Holm","Body Horror, Cyborg / Android / Robot, Horror",
The Silence of the Lambs,1991,118 min.,Jonathan Demme,"Jodie Foster, Scott Glenn, Anthony Hopkins","Based-on-20th-Century-Literature, Cannibal Film, Crime Thriller",
The Shining,1980,142 min.,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd","Based-on-20th-Century-Literature, Ghost Film, Haunted House Film",
Indiana Jones and the Last Crusade,1989,127 min.,Steven Spielberg,"River Phoenix, Harrison Ford, Sean Connery","Action Comedy, Action, Adventure Comedy",
Reservoir Dogs,1992,99 min.,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen","Caper, Crime Thriller, Crime",
The Apartment,1960,125 min.,Billy Wilder,"Jack Lemmon, Fred MacMurray, Ray Walston","Comedy Drama, Drama, Romance",
Se7en,1995,127 min.,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow","Crime Thriller, Crime, Police Detective Film",
Casablanca,1942,102 min.,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid","Based-on-Theatre, Drama, Romance",
Seven Samurai,1954,207 min.,Akira Kurosawa,"Toshirô Mifune, Minoru Chiaki, Takashi Shimura","Action, Drama, Ensemble Film",
The Matrix,1999,136 min.,The Wachowskis,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Action, Cyberpunk / Tech Noir, Cyborg / Android / Robot",
M,1931,99 min.,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut","Crime Thriller, Crime, Foreign Language Film",
Die Hard,1988,131 min.,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia","Action Thriller, Action, Based-on-20th-Century-Literature",
Monty Python and the Holy Grail,1975,91 min.,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle","Absurd Comedy, Adventure Comedy, Adventure",
"The Good, the Bad and the Ugly",1966,161 min.,Sergio Leone,"Eli Wallach, Clint Eastwood, Lee Van Cleef","Foreign Language Film, Outlaw, Revisionist Western",
One Flew Over the Cuckoo's Nest,1975,133 min.,Milos Forman,"Jack Nicholson, Louise Fletcher, Will Sampson","Based-on-20th-Century-Literature, Comedy Drama, Drama",
Double Indemnity,1944,107 min.,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson","Based-on-20th-Century-Literature, Crime Thriller, Crime",
Sunrise: A Song of Two Humans,1927,94 min.,F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston","Drama, Marriage Drama, Melodrama",
The Night of the Hunter,1955,92 min.,Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish","Based-on-20th-Century-Literature, Crime Thriller, Crime",
Yojimbo,1961,110 min.,Akira Kurosawa,"Toshirô Mifune, Isuzu Yamada, Daisuke Katô","Action, Adventure, Costume Adventure",
Ghostbusters,1984,105 min.,Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis","Comedy, Fantasy Comedy, Fantasy",
North by Northwest,1959,136 min.,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason","Chase Movie, Mystery, Romance",
The Lord of the Rings: The Fellowship of the Ring,2001,178 min.,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen","Adventure, Based-on-20th-Century-Literature, Ensemble Film",
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93 min.,Stanley Kubrick,"George C. Scott, Sterling Hayden, Peter Sellers","Anti-War Film, Apocalyptic Film, Based-on-20th-Century-Literature",
The Third Man,1949,93 min.,Carol Reed,"Joseph Cotten, Alida Valli, Orson Welles","British Noir, Film Noir, Mystery",
Citizen Kane,1941,119 min.,Orson Welles,"Orson Welles, Ray Collins, Joseph Cotten","Drama, Newspaper Film, Period Film",
The Princess Bride,1987,98 min.,Rob Reiner,"Cary Elwes, Mandy Patinkin, Chris Sarandon","Adventure Comedy, Adventure, Based-on-20th-Century-Literature",
Rashômon,1950,88 min.,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Minoru Chiaki","Based-on-20th-Century-Literature, Crime Drama, Crime",
Terminator 2: Judgment Day,1991,137 min.,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Robert Patrick","Action Thriller, Action, Cyberpunk / Tech Noir",
Blade Runner,1982,117 min.,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young","Based-on-20th-Century-Literature, Cyberpunk / Tech Noir, Cyborg / Android / Robot",
Taxi Driver,1976,113 min.,Martin Scorsese,"Robert De Niro, Jodie Foster, Albert Brooks","Drama, New Hollywood, Post-Noir",
The Wages of Fear,1953,131 min.,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Folco Lulli","Based-on-20th-Century-Literature, Foreign Language Film, Psychological Thriller",
The Usual Suspects,1995,106 min.,Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro","Crime Thriller, Crime, Ensemble Film",
The Lord of the Rings: The Return of the King,2003,201 min.,Peter Jackson,"Elijah Wood, Ian McKellen, Andy Serkis","Adventure, Based-on-20th-Century-Literature, Ensemble Film",
Aliens,1986,137 min.,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn","Action, Body Horror, Cyborg / Android / Robot",
Paths of Glory,1957,87 min.,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou","Anti-War Film, Based-on-20th-Century-Literature, Drama",
Psycho,1960,109 min.,Alfred Hitchcock,"Anthony Perkins, Vera Miles, John Gavin","Based-on-20th-Century-Literature, Horror, Psychological Horror",
Saving Private Ryan,1998,170 min.,Steven Spielberg,"Tom Hanks, Tom Sizemore, Edward Burns","Combat Films, Drama, Ensemble Film",
12 Angry Men,1957,96 min.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Jack Klugman","Based-on-Television, Based-on-Theatre, Courtroom Drama",
Jurassic Park,1993,127 min.,Steven Spielberg,"Sam Neill, Laura Dern, Richard Attenborough","Action, Based-on-20th-Century-Literature, Fantasy",
Schindler's List,1993,195 min.,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes","Based-on-20th-Century-Literature, Based-on-a-True-Story, Biopic",
Persona,1966,85 min.,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margareta Krook","Avant-garde / Experimental, Drama, Foreign Language Film",
Apocalypse Now,1979,153 min.,Francis Ford Coppola,"Martin Sheen, Robert Duvall, Dennis Hopper","Adventure Drama, Adventure, Anti-War Film",
The Red Shoes,1948,133 min.,"Michael Powell, Emeric Pressburger","Moira Shearer, Anton Walbrook, Marius Goring","Based-on-19th-Century-Literature, Dance Film, Drama",
The Passion of Joan of Arc,1928,110 min.,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley","Based-on-a-True-Story, Biopic, Courtroom Drama",
Touch of Evil,1958,95 min.,Orson Welles,"Charlton Heston, Janet Leigh, Orson Welles","Crime, Film Noir, Mystery",
Vertigo,1958,129 min.,Alfred Hitchcock,"James Stewart, Kim Novak, Tom Helmore","Based-on-20th-Century-Literature, Femme Fatale, Mindbender",
Forrest Gump,1994,142 min.,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","Americana, Comedy Drama, Drama",
Jaws,1975,124 min.,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss","Adventure, Based-on-20th-Century-Literature, Horror",
Chinatown,1974,131 min.,Roman Polanski,"Faye Dunaway, Jack Nicholson, John Hillerman","Detective Film, Femme Fatale, Mystery",
Le samouraï,1967,105 min.,Jean-Pierre Melville,"Alain Delon, François Perier, Nathalie Delon","Crime Thriller, Crime, Foreign Language Film",
Toy Story,1995,81 min.,John Lasseter,"Don Rickles, Wallace Shawn, Jim Varney","Adventure, Animation, Comedy",
Bicycle Thieves,1948,93 min.,Vittorio De Sica,"Lamberto Maggiorani, Lianella Carell, Enzo Staiola","Coming-of-Age, Crime Drama, Crime",
The Big Lebowski,1998,117 min.,Joel & Ethan Coen,"Julianne Moore, David Huddleston, Jeff Bridges","Buddy Film, Comedy, Crime Comedy",
A Clockwork Orange,1971,136 min.,Stanley Kubrick,"Malcolm McDowell, Warren Clarke, Patrick Magee","Based-on-20th-Century-Literature, Dystopian Film, Juvenile Delinquency Film",
Come and See,1985,140 min.,Elem Klimov,"Aleksei Kravchenko, Olga Mironova, Liubomiras Lauciavicius","Anti-War Film, Based-on-20th-Century-Literature, Coming-of-Age",
The Lord of the Rings: The Two Towers,2002,179 min.,Peter Jackson,"Elijah Wood, Ian McKellen, Andy Serkis","Adventure, Based-on-20th-Century-Literature, Ensemble Film",
Memento,2000,113 min.,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano","Crime Thriller, Crime, Mindbender",
Ferris Bueller's Day Off,1986,103 min.,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara","Comedy, Coming-of-Age, Teen Movie",
The Treasure of the Sierra Madre,1948,126 min.,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt","Adventure Drama, Adventure, Drama",
Tokyo Story,1953,136 min.,Yasujirô Ozu,"Chishu Ryu, Chieko Higashiyama, Setsuko Hara","Drama, Family Drama, Foreign Language Film",
The General,1926,103 min.,"Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender","Action Comedy, Action, Comedy",
Full Metal Jacket,1987,116 min.,Stanley Kubrick,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio","Anti-War Film, Based-on-20th-Century-Literature, Combat Films",
The Terminator,1984,108 min.,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn","Action Thriller, Action, Cyberpunk / Tech Noir",
Fargo,1996,98 min.,Joel & Ethan Coen,"Frances McDormand, William H. Macy, Steve Buscemi","Americana, Black Comedy, Crime Comedy",
The 400 Blows,1959,99 min.,François Truffaut,"Jean-Pierre Léaud, Claire Maurier, Albert Remy","Childhood Drama, Coming-of-Age, Drama",
Inception,2010,148 min.,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe","Action Thriller, Action, Caper",
It Happened One Night,1934,105 min.,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly","Comedy, Newspaper Film, Pre-Code Hollywood",
Notorious,1946,101 min.,Alfred Hitchcock,"Cary Grant, Ingrid Bergman, Claude Rains","Film Noir, Mystery, Political Thriller",
Wild Strawberries,1957,91 min.,Ingmar Bergman,"Victor Sjostrom, Bibi Andersson, Ingrid Thulin","Drama, Foreign Language Film, Psychological Drama",
Sunset Blvd.,1950,110 min.,Billy Wilder,"William Holden, Gloria Swanson, Nancy Olson","Drama, Femme Fatale, Film Noir",
The Seventh Seal,1957,96 min.,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot","Drama, Fantasy, Foreign Language Film",
The Departed,2006,151 min.,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Mark Wahlberg","Crime Drama, Crime Thriller, Crime",
Ace in the Hole,1951,111 min.,Billy Wilder,"Kirk Douglas, Robert Arthur, Jan Sterling","Black Comedy, Comedy Drama, Drama",
Modern Times,1936,87 min.,Charles Chaplin,"Charles Chaplin, Henry Bergman, Chester Conklin","Comedy, Satire, Silent Film",
2001: A Space Odyssey,1968,141 min.,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester","Adventure, Based-on-20th-Century-Literature, Cyborg / Android / Robot",
Strangers on a Train,1951,101 min.,Alfred Hitchcock,"Farley Granger, Robert Walker, Ruth Roman","Based-on-20th-Century-Literature, Crime Thriller, Crime",
Grand Illusion,1937,114 min.,Jean Renoir,"Jean Gabin, Dita Parlo, Pierre Fresnay","Anti-War Film, Drama, Escape Film",
Batman Begins,2005,140 min.,Christopher Nolan,"Christian Bale, Katie Holmes, Gary Oldman","Action, Action Thriller, Based-on-Comics",
The Professional,1994,110 min.,Luc Besson,"Jean Reno, Natalie Portman, Gary Oldman","Action Thriller, Action, Buddy Film",
On the Waterfront,1954,108 min.,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb","Crime Drama, Crime, Drama",
Stalker,1979,163 min.,Andrei Tarkovsky,"Aleksandr Kaidanovsky, Alisa Frejndlikh, Anatoli Solonitsyn","Adventure Drama, Adventure, Based-on-20th-Century-Literature",
Rocky,1976,119 min.,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young","Drama, New Hollywood, Sports Drama",
8½,1963,138 min.,Federico Fellini,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée","Comedy Drama, Drama, Ensemble Film",
In a Lonely Place,1950,94 min.,Nicholas Ray,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy","Crime Drama, Crime, Drama",
Inglourious Basterds,2009,153 min.,Quentin Tarantino,"Melanie Laurent, Brad Pitt, Christoph Waltz","Adventure, Revenge Film, War Adventure",
Throne of Blood,1957,109 min.,Akira Kurosawa,"Toshirô Mifune, Isuzu Yamada, Minoru Chiaki","Action Thriller, Action, Based-on-Shakespeare",
Network,1976,121 min.,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch","Black Comedy, Comedy Drama, Drama",
Indiana Jones and the Temple of Doom,1984,118 min.,Steven Spielberg,"Harrison Ford, Kate Capshaw, Ke Huy Quan","Action, Adventure, Costume Adventure",
The Philadelphia Story,1940,112 min.,George Cukor,"Cary Grant, Katharine Hepburn, James Stewart","Based-on-Theatre, Comedy, Romance",
Sweet Smell of Success,1957,96 min.,Alexander Mackendrick,"Burt Lancaster, Tony Curtis, Susan Harrison","Drama, Film Noir, Media Satire",
