Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
Star Wars,1977,121 min.,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",,
The Empire Strikes Back,1980,127 min.,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",,
The Godfather,1972,175 min.,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",,
Raiders of the Lost Ark,1981,115 min.,Steven Spielberg,"Harrison Ford, Paul Freeman, Karen Allen",,
The Shawshank Redemption,1994,142 min.,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",,
Pulp Fiction,1994,154 min.,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Bruce Willis",,
Return of the Jedi,1983,134 min.,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher",,
Back to the Future,1985,116 min.,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson",,
Ikiru,1952,143 min.,Akira Kurosawa,"Takashi Shimura, Shin'ichi Himori, Haruo Tanaka",,
The Godfather Part II,1974,200 min.,Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton",,
Harakiri,1962,133 min.,Masaki Kobayashi,"Tatsuya Nakadai, Rentaro Mikuni, Shima Iwashita",,
The Dark Knight,2008,152 min.,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",,
Fight Club,1999,139 min.,David Fincher,"Brad Pitt, Edward Norton, Helena Bonham Carter",,
GoodFellas,1990,145 min.,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",,
Rear Window,1954,112 min.,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey",,
High and Low,1963,142 min.,Akira Kurosawa,"Toshirô Mifune, Tatsuya Nakadai, Kyoko Kagawa",,
City Lights,1931,87 min.,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee",,
Alien,1979,117 min.,Ridley Scott,"Tom Skerritt, Sigourney Weaver, Ian Holm",,
The Silence of the Lambs,1991,118 min.,Jonathan Demme,"Jodie Foster, Scott Glenn, Anthony Hopkins",,
The Shining,1980,142 min.,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd",,
Indiana Jones and the Last Crusade,1989,127 min.,Steven Spielberg,"River Phoenix, Harrison Ford, Sean Connery",,
Reservoir Dogs,1992,99 min.,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen",,
The Apartment,1960,125 min.,Billy Wilder,"Jack Lemmon, Fred MacMurray, Ray Walston",,
Se7en,1995,127 min.,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow",,
Casablanca,1942,102 min.,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",,
Seven Samurai,1954,207 min.,Akira Kurosawa,"Toshirô Mifune, Minoru Chiaki, Takashi Shimura",,
The Matrix,1999,136 min.,The Wachowskis,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",,
M,1931,99 min.,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut",,
Die Hard,1988,131 min.,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia",,
Monty Python and the Holy Grail,1975,91 min.,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle",,
"The Good, the Bad and the Ugly",1966,161 min.,Sergio Leone,"Eli Wallach, Clint Eastwood, Lee Van Cleef",,
One Flew Over the Cuckoo's Nest,1975,133 min.,Milos Forman,"Jack Nicholson, Louise Fletcher, Will Sampson",,
Double Indemnity,1944,107 min.,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",,
Sunrise: A Song of Two Humans,1927,94 min.,F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston",,
The Night of the Hunter,1955,92 min.,Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish",,
Yojimbo,1961,110 min.,Akira Kurosawa,"Toshirô Mifune, Isuzu Yamada, Daisuke Katô",,
Ghostbusters,1984,105 min.,Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis",,
North by Northwest,1959,136 min.,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason",,
The Lord of the Rings: The Fellowship of the Ring,2001,178 min.,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93 min.,Stanley Kubrick,"George C. Scott, Sterling Hayden, Peter Sellers",,
The Third Man,1949,93 min.,Carol Reed,"Joseph Cotten, Alida Valli, Orson Welles",,
Citizen Kane,1941,119 min.,Orson Welles,"Orson Welles, Ray Collins, Joseph Cotten",,
The Princess Bride,1987,98 min.,Rob Reiner,"Cary Elwes, Mandy Patinkin, Chris Sarandon",,
Rashômon,1950,88 min.,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Minoru Chiaki",,
Terminator 2: Judgment Day,1991,137 min.,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Robert Patrick",,
Blade Runner,1982,117 min.,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",,
Taxi Driver,1976,113 min.,Martin Scorsese,"Robert De Niro, Jodie Foster, Albert Brooks",,
The Wages of Fear,1953,131 min.,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Folco Lulli",,
The Usual Suspects,1995,106 min.,Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro",,
The Lord of the Rings: The Return of the King,2003,201 min.,Peter Jackson,"Elijah Wood, Ian McKellen, Andy Serkis",,
Aliens,1986,137 min.,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn",,
Paths of Glory,1957,87 min.,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",,
Psycho,1960,109 min.,Alfred Hitchcock,"Anthony Perkins, Vera Miles, John Gavin",,
Saving Private Ryan,1998,170 min.,Steven Spielberg,"Tom Hanks, Tom Sizemore, Edward Burns",,
12 Angry Men,1957,96 min.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Jack Klugman",,
Jurassic Park,1993,127 min.,Steven Spielberg,"Sam Neill, Laura Dern, Richard Attenborough",,
