Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
Star Wars,1977,121 min.,George Lucas,Mark Hamill,Action,Adventure
The Empire Strikes Back,1980,127 min.,Irvin Kershner,Mark Hamill,Action,Adventure
The Godfather,1972,175 min.,Francis Ford Coppola,Marlon Brando,Based-on-20th-Century-Literature,Crime Drama
Raiders of the Lost Ark,1981,115 min.,Steven Spielberg,Harrison Ford,Action,Adventure
The Shawshank Redemption,1994,142 min.,Frank Darabont,Tim Robbins,Based-on-20th-Century-Literature,Buddy Film
Pulp Fiction,1994,154 min.,Quentin Tarantino,John Travolta,Black Comedy,Comedy Thriller
Return of the Jedi,1983,134 min.,Richard Marquand,Mark Hamill,Action,Adventure
Back to the Future,1985,116 min.,Robert Zemeckis,Michael J. Fox,Adventure Comedy,Adventure
Ikiru,1952,143 min.,Akira Kurosawa,Takashi Shimura,Based-on-19th-Century-Literature,Drama
The Godfather Part II,1974,200 min.,Francis Ford Coppola,Al Pacino,Based-on-20th-Century-Literature,Crime Drama
Harakiri,1962,133 min.,Masaki Kobayashi,Tatsuya Nakadai,Based-on-20th-Century-Literature,Drama
The Dark Knight,2008,152 min.,Christopher Nolan,Christian Bale,Action Thriller,Action
Fight Club,1999,139 min.,David Fincher,Brad Pitt,Based-on-20th-Century-Literature,Black Comedy
GoodFellas,1990,145 min.,Martin Scorsese,Robert De Niro,Based-on-20th-Century-Literature,Based-on-a-True-Story
Rear Window,1954,112 min.,Alfred Hitchcock,James Stewart,Based-on-20th-Century-Literature,Mystery
High and Low,1963,142 min.,Akira Kurosawa,Toshirô Mifune,Based-on-20th-Century-Literature,Crime Drama
City Lights,1931,87 min.,Charles Chaplin,Charles Chaplin,Comedy Drama,Comedy
Alien,1979,117 min.,Ridley Scott,Tom Skerritt,Body Horror,Cyborg / Android / Robot
The Silence of the Lambs,1991,118 min.,Jonathan Demme,Jodie Foster,Based-on-20th-Century-Literature,Cannibal Film
